x_deg,y_deg,z_deg,n_frames,mean_opt_loss,median_opt_loss,std_opt_loss,mean_init_loss
180.0,45.0,-90.0,73,0.0031075000297278166,0.002959601581096649,0.0009094932465814054,0.006287237163633108
-135.0,135.0,90.0,73,0.0031548046972602606,0.0028070721309632063,0.0012572489213198423,0.004576470702886581
45.0,45.0,-90.0,73,0.0031548046972602606,0.0028070721309632063,0.0012572489213198423,0.004576470702886581
-45.0,135.0,90.0,73,0.0031927432864904404,0.0030431586783379316,0.0008178696734830737,0.006359334569424391
135.0,45.0,-90.0,73,0.0031927432864904404,0.0030431586783379316,0.0008178696734830737,0.006359334569424391
-135.0,45.0,-135.0,73,0.003296897280961275,0.0032706044148653746,0.0011576591059565544,0.004911448806524277
45.0,135.0,45.0,73,0.003296897280961275,0.0032706044148653746,0.0011576591059565544,0.004911448806524277
-45.0,45.0,-45.0,73,0.00373363820835948,0.0034112606663256884,0.0011467636795714498,0.005454706028103828
135.0,135.0,135.0,73,0.00373363820835948,0.0034112606663256884,0.0011467636795714498,0.005454706028103828
-90.0,90.0,-180.0,73,0.0037458580918610096,0.0036988251376897097,0.0016433538403362036,0.006655016448348761
-90.0,135.0,135.0,73,0.003925856202840805,0.0037688473239541054,0.0014104248257353902,0.005455002188682556
90.0,45.0,-45.0,73,0.003925856202840805,0.0037688473239541054,0.0014104248257353902,0.005455002188682556
-90.0,135.0,45.0,73,0.003940303344279528,0.003582378849387169,0.0012775924988090992,0.007933765649795532
90.0,45.0,-135.0,73,0.003940303344279528,0.003582378849387169,0.0012775922659784555,0.007933765649795532
-180.0,90.0,90.0,73,0.003976680804044008,0.003883910598233342,0.0017917333170771599,0.006655016448348761
-135.0,90.0,135.0,73,0.003976680804044008,0.003883910598233342,0.0017917333170771599,0.006655016448348761
-90.0,90.0,180.0,73,0.003976680804044008,0.003883910598233342,0.0017917333170771599,0.006655016448348761
-45.0,90.0,-135.0,73,0.003976680804044008,0.003883910598233342,0.0017917333170771599,0.006655016448348761
0.0,90.0,-90.0,73,0.003976680804044008,0.003883910598233342,0.0017917333170771599,0.006655016448348761
45.0,90.0,-45.0,73,0.003976680804044008,0.003883910598233342,0.0017917333170771599,0.006655016448348761
90.0,90.0,0.0,73,0.003976680804044008,0.003883910598233342,0.0017917333170771599,0.006655016448348761
135.0,90.0,45.0,73,0.003976680804044008,0.003883910598233342,0.0017917333170771599,0.006655016448348761
180.0,90.0,90.0,73,0.003976680804044008,0.003883910598233342,0.0017917333170771599,0.006655016448348761
-90.0,-180.0,90.0,73,0.004281591158360243,0.004104141145944595,0.0015953471884131432,0.007527556270360947
-90.0,180.0,90.0,73,0.004281591158360243,0.004104141145944595,0.0015953471884131432,0.007527556270360947
90.0,0.0,-90.0,73,0.004281591158360243,0.004104141145944595,0.0015953471884131432,0.007527556270360947
90.0,90.0,-180.0,73,0.004646759945899248,0.0042068371549248695,0.001550914254039526,0.010231610387563705
-180.0,90.0,-90.0,73,0.004652003757655621,0.0042068371549248695,0.0015525807393714786,0.010231610387563705
-135.0,90.0,-45.0,73,0.004652003757655621,0.0042068371549248695,0.0015525807393714786,0.010231610387563705
-90.0,90.0,0.0,73,0.004652003757655621,0.0042068371549248695,0.0015525807393714786,0.010231610387563705
-45.0,90.0,45.0,73,0.004652003757655621,0.0042068371549248695,0.0015525807393714786,0.010231610387563705
0.0,90.0,90.0,73,0.004652003757655621,0.0042068371549248695,0.0015525807393714786,0.010231610387563705
45.0,90.0,135.0,73,0.004652003757655621,0.0042068371549248695,0.0015525807393714786,0.010231610387563705
90.0,90.0,180.0,73,0.004652003757655621,0.0042068371549248695,0.0015525807393714786,0.010231610387563705
135.0,90.0,-135.0,73,0.004652003757655621,0.0042068371549248695,0.0015525807393714786,0.010231610387563705
180.0,90.0,-90.0,73,0.004652003757655621,0.0042068371549248695,0.0015525807393714786,0.010231610387563705
-45.0,-180.0,90.0,73,0.004681275691837072,0.004788171034306288,0.0015096737770363688,0.008488844148814678
-45.0,180.0,90.0,73,0.004681275691837072,0.004788171034306288,0.0015096737770363688,0.008488844148814678
135.0,0.0,-90.0,73,0.004681275691837072,0.004788171034306288,0.0015096737770363688,0.008488844148814678
135.0,45.0,-180.0,73,0.0047288136556744576,0.004283341113477945,0.002211397048085928,0.008204786106944084
-45.0,135.0,0.0,73,0.004810357932001352,0.0045697507448494434,0.0022177689243108034,0.008204786106944084
135.0,45.0,180.0,73,0.004810357932001352,0.0045697507448494434,0.0022177689243108034,0.008204786106944084
-135.0,135.0,180.0,73,0.004886338487267494,0.004655836615711451,0.002253183862194419,0.005767282098531723
45.0,45.0,0.0,73,0.004886338487267494,0.004655836615711451,0.002253183862194419,0.005767282098531723
-135.0,135.0,-180.0,73,0.004903371911495924,0.004655820783227682,0.002256534295156598,0.005767282098531723
-90.0,45.0,-135.0,73,0.00528843654319644,0.00562276178970933,0.0014695781283080578,0.006182748358696699
90.0,135.0,45.0,73,0.00528843654319644,0.00562276178970933,0.0014695781283080578,0.006182748358696699
-45.0,90.0,-180.0,73,0.005381331779062748,0.0050086756236851215,0.00225525489076972,0.010377541184425354
-180.0,0.0,-90.0,73,0.005505377892404795,0.006004991475492716,0.0016370989615097642,0.0107660461217165
0.0,-180.0,90.0,73,0.005505377892404795,0.006004991475492716,0.0016370989615097642,0.0107660461217165
0.0,180.0,90.0,73,0.005505377892404795,0.006004991475492716,0.0016370989615097642,0.0107660461217165
180.0,0.0,-90.0,73,0.005505377892404795,0.006004991475492716,0.0016370989615097642,0.0107660461217165
-90.0,45.0,-45.0,73,0.00551595538854599,0.005602322984486818,0.0011521176202222705,0.008710822090506554
90.0,135.0,135.0,73,0.00551595538854599,0.005602322984486818,0.0011521176202222705,0.008710822090506554
-180.0,90.0,45.0,73,0.005527246277779341,0.0053003448992967606,0.0023261932656168938,0.010377541184425354
-135.0,90.0,90.0,73,0.005527246277779341,0.0053003448992967606,0.0023261932656168938,0.010377541184425354
-90.0,90.0,135.0,73,0.005527246277779341,0.0053003448992967606,0.0023261932656168938,0.010377541184425354
-45.0,90.0,180.0,73,0.005527246277779341,0.0053003448992967606,0.0023261932656168938,0.010377541184425354
0.0,90.0,-135.0,73,0.005527246277779341,0.0053003448992967606,0.0023261932656168938,0.010377541184425354
45.0,90.0,-90.0,73,0.005527246277779341,0.0053003448992967606,0.0023261932656168938,0.010377541184425354
90.0,90.0,-45.0,73,0.005527246277779341,0.0053003448992967606,0.0023261932656168938,0.010377541184425354
135.0,90.0,0.0,73,0.005527246277779341,0.0053003448992967606,0.0023261932656168938,0.010377541184425354
180.0,90.0,45.0,73,0.005527246277779341,0.0053003448992967606,0.0023261932656168938,0.010377541184425354
-90.0,135.0,180.0,73,0.005542941391468048,0.005209360737353563,0.0023340166080743074,0.007461281027644873
90.0,45.0,0.0,73,0.005542941391468048,0.005209360737353563,0.0023340166080743074,0.007461281027644873
-135.0,-180.0,90.0,73,0.005591280292719603,0.005292298272252083,0.0018603448988869786,0.008445297367870808
-135.0,180.0,90.0,73,0.005591280292719603,0.005292298272252083,0.0018603448988869786,0.008445297367870808
45.0,0.0,-90.0,73,0.005591280292719603,0.005292298272252083,0.0018603448988869786,0.008445297367870808
-90.0,135.0,-180.0,73,0.005646510049700737,0.005271122325211763,0.00235246354714036,0.007461281027644873
90.0,45.0,-180.0,73,0.0057860189117491245,0.005676691886037588,0.0020078166853636503,0.01096678338944912
-180.0,-180.0,90.0,73,0.005852339323610067,0.005775913596153259,0.001348214689642191,0.01070446241647005
-180.0,180.0,90.0,73,0.005852339323610067,0.005775913596153259,0.001348214689642191,0.01070446241647005
0.0,0.0,-90.0,73,0.005852339323610067,0.005775913596153259,0.001348214689642191,0.01070446241647005
180.0,-180.0,90.0,73,0.005852339323610067,0.005775913596153259,0.001348214689642191,0.01070446241647005
180.0,180.0,90.0,73,0.005852339323610067,0.005775913596153259,0.001348214689642191,0.01070446241647005
-90.0,135.0,0.0,73,0.005871488247066736,0.005676767323166132,0.002190900733694434,0.01096678338944912
90.0,45.0,180.0,73,0.005871488247066736,0.005676767323166132,0.002190900733694434,0.01096678338944912
-45.0,-180.0,45.0,73,0.005877096671611071,0.0054579563438892365,0.0023466621059924364,0.010167325846850872
-45.0,180.0,45.0,73,0.005877096671611071,0.0054579563438892365,0.0023466621059924364,0.010167325846850872
135.0,0.0,-135.0,73,0.005877096671611071,0.0054579563438892365,0.0023466621059924364,0.010167325846850872
-135.0,-180.0,135.0,73,0.005902411416172981,0.005988553166389465,0.0025178801734000444,0.008457805030047894
-135.0,180.0,135.0,73,0.005902411416172981,0.005988553166389465,0.0025178801734000444,0.008457805030047894
45.0,0.0,-45.0,73,0.005902411416172981,0.005988553166389465,0.0025178801734000444,0.008457805030047894
-135.0,135.0,45.0,73,0.005926335696130991,0.005716660525649786,0.0014498165110126138,0.009205066598951817
45.0,45.0,-135.0,73,0.005926335696130991,0.005716660525649786,0.0014498162781819701,0.009205066598951817
-90.0,135.0,-135.0,73,0.0059640309773385525,0.005412326660007238,0.0025833838153630495,0.010494297370314598
90.0,45.0,45.0,73,0.0059640309773385525,0.0054123252630233765,0.0025833838153630495,0.010494297370314598
-45.0,135.0,135.0,73,0.006069917697459459,0.00622548907995224,0.0013931134017184377,0.008711117319762707
135.0,45.0,-45.0,73,0.006069917697459459,0.00622548907995224,0.0013931134017184377,0.008711117319762707
-180.0,0.0,-135.0,73,0.006104561034590006,0.00580755015835166,0.002470567123964429,0.0109455157071352
0.0,-180.0,45.0,73,0.006104561034590006,0.00580755015835166,0.002470567123964429,0.0109455157071352
0.0,180.0,45.0,73,0.006104561034590006,0.00580755015835166,0.002470567123964429,0.0109455157071352
180.0,0.0,-135.0,73,0.006104561034590006,0.00580755015835166,0.002470567123964429,0.0109455157071352
-180.0,45.0,-180.0,73,0.006146690808236599,0.005758760962635279,0.0024406646843999624,0.007658861111849546
180.0,45.0,-180.0,73,0.006146690808236599,0.005758760962635279,0.0024406646843999624,0.007658861111849546
-90.0,135.0,-90.0,73,0.006163634359836578,0.005443633068352938,0.0025543547235429287,0.012777351774275303
90.0,45.0,90.0,73,0.006163634359836578,0.005443633068352938,0.0025543547235429287,0.012777351774275303
-180.0,-180.0,135.0,73,0.006254600826650858,0.006214572582393885,0.002053550910204649,0.01095502357929945
-180.0,180.0,135.0,73,0.006254600826650858,0.006214572582393885,0.002053550910204649,0.01095502357929945
0.0,0.0,-45.0,73,0.006254600826650858,0.006214572582393885,0.002053550910204649,0.01095502357929945
180.0,-180.0,135.0,73,0.006254600826650858,0.006214572582393885,0.002053550910204649,0.01095502357929945
180.0,180.0,135.0,73,0.006254600826650858,0.006214572582393885,0.002053550910204649,0.01095502357929945
-180.0,45.0,180.0,73,0.006267348304390907,0.005823694169521332,0.002305180998519063,0.007658861111849546
0.0,135.0,0.0,73,0.006267348304390907,0.005823694169521332,0.002305180998519063,0.007658861111849546
180.0,45.0,180.0,73,0.006267348304390907,0.005823694169521332,0.002305180998519063,0.007658861111849546
-180.0,135.0,180.0,73,0.006399564445018768,0.00596952810883522,0.0018513653194531798,0.007737636566162109
0.0,45.0,0.0,73,0.006399564445018768,0.00596952810883522,0.0018513653194531798,0.007737636566162109
180.0,135.0,180.0,73,0.006399564445018768,0.00596952810883522,0.0018513653194531798,0.007737636566162109
-180.0,135.0,-180.0,73,0.0064287795685231686,0.0059695118106901646,0.0018595613073557615,0.007737636566162109
180.0,135.0,-180.0,73,0.0064287795685231686,0.0059695118106901646,0.0018595613073557615,0.007737636566162109
-180.0,90.0,-45.0,73,0.006431290414184332,0.006071502808481455,0.0019133089808747172,0.01290657464414835
-135.0,90.0,0.0,73,0.006431290414184332,0.006071502808481455,0.0019133089808747172,0.01290657464414835
-90.0,90.0,45.0,73,0.006431290414184332,0.006071502808481455,0.0019133089808747172,0.01290657464414835
-45.0,90.0,90.0,73,0.006431290414184332,0.006071502808481455,0.0019133089808747172,0.01290657464414835
0.0,90.0,135.0,73,0.006431290414184332,0.006071502808481455,0.0019133089808747172,0.01290657464414835
45.0,90.0,180.0,73,0.006431290414184332,0.006071502808481455,0.0019133089808747172,0.01290657464414835
90.0,90.0,-135.0,73,0.006431290414184332,0.006071502808481455,0.0019133089808747172,0.01290657464414835
135.0,90.0,-90.0,73,0.006431290414184332,0.006071502808481455,0.0019133089808747172,0.01290657464414835
180.0,90.0,-45.0,73,0.006431290414184332,0.006071502808481455,0.0019133089808747172,0.01290657464414835
0.0,90.0,-180.0,73,0.0064333477057516575,0.006108347792178392,0.0022513382136821747,0.012967020273208618
45.0,90.0,-180.0,73,0.006469434592872858,0.0060704718343913555,0.001956464257091284,0.01290657464414835
-180.0,90.0,0.0,73,0.006476701237261295,0.006108342204242945,0.0022953012958168983,0.012967020273208618
-135.0,90.0,45.0,73,0.006476701237261295,0.006108342204242945,0.0022953012958168983,0.012967020273208618
-90.0,90.0,90.0,73,0.006476701237261295,0.006108342204242945,0.0022953012958168983,0.012967020273208618
-45.0,90.0,135.0,73,0.006476701237261295,0.006108342204242945,0.0022953012958168983,0.012967020273208618
0.0,90.0,180.0,73,0.006476701237261295,0.006108342204242945,0.0022953012958168983,0.012967020273208618
45.0,90.0,-135.0,73,0.006476701237261295,0.006108342204242945,0.0022953012958168983,0.012967020273208618
90.0,90.0,-90.0,73,0.006476701237261295,0.006108342204242945,0.0022953012958168983,0.012967020273208618
135.0,90.0,-45.0,73,0.006476701237261295,0.006108342204242945,0.0022953012958168983,0.012967020273208618
180.0,90.0,0.0,73,0.006476701237261295,0.006108342204242945,0.0022953012958168983,0.012967020273208618
-135.0,0.0,-90.0,73,0.0064871646463871,0.007004988845437765,0.001999050611630082,0.013025211170315742
45.0,-180.0,90.0,73,0.0064871646463871,0.007004988845437765,0.001999050611630082,0.013025211170315742
45.0,180.0,90.0,73,0.0064871646463871,0.007004988845437765,0.001999050611630082,0.013025211170315742
-90.0,135.0,-45.0,73,0.006558694876730442,0.006123824045062065,0.002319118706509471,0.012973062694072723
